week	sales1	sales2	sales3	sales4	sales5	price1	price2	price3	price4	price5	disp1	disp2	disp3	disp4	disp5	feat1	feat2	feat3	feat4	feat5	grmar1	grmar2	grmar3	grmar4	grmar5
127	34240	12480	4800	6400	17536	0.031	0.049	0.027	0.031	0.017	1	0	1	1	0	1	0	0	0	0	0.197130841	0.3202	0.224941437	0.13208	0.2887
128	7040	29952	1664	123968	7296	0.047	0.049	0.037	0.031	0.015	0	0	0	1	1	0	1	0	1	0	0.465625455	0.317148718	0.244646154	0.13289143	0.4
129	74752	8352	1216	14400	4480	0.031	0.049	0.037	0.033	0.019	1	0	0	1	1	1	0	0	0	0	0.197099486	0.283278161	0.305921053	0.168942782	0.1024
130	41792	11040	2304	7744	58496	0.028	0.049	0.037	0.036	0.022	1	0	0	0	1	0	0	0	0	1	0.107464625	0.353817391	0.239847222	0.227647386	0.0604
131	83072	9408	896	18560	8384	0.028	0.049	0.040	0.031	0.023	1	0	0	1	1	0	0	0	1	0	0.04549661	0.366171429	0.269439468	0.039200345	0.0652
132	35712	10464	4096	7040	34432	0.030	0.049	0.035	0.034	0.025	1	0	0	1	1	0	0	0	0	0	0.107705935	0.291386239	0.115412939	0.101822314	0.1509
133	21760	8736	171264	5312	5696	0.043	0.049	0.031	0.037	0.026	0	0	1	0	1	0	0	1	0	0	0.227648078	0.271263736	0.001711323	0.180749369	0.197
134	39296	10656	5184	22976	3648	0.039	0.048	0.032	0.031	0.030	1	0	1	1	0	1	0	0	1	0	0.152	0.255070005	0.025240516	0.179334819	0.2925
135	11904	17952	1472	7360	7680	0.041	0.046	0.045	0.035	0.023	1	1	0	1	0	0	1	0	0	0	0.195644707	0.24015508	0.311569565	0.279932686	0.1358
136	11392	15744	2112	5952	70016	0.047	0.047	0.045	0.042	0.020	0	1	0	0	1	0	0	0	0	1	0.2909	0.2562	0.3115	0.319064516	0.013815814
137	12800	12384	1344	26880	9536	0.041	0.049	0.039	0.031	0.022	0	0	0	1	1	0	0	0	1	0	0.186132486	0.29965814	0.205479293	0.009079762	0.0741
138	50624	22656	10176	4928	6784	0.035	0.037	0.034	0.042	0.030	1	1	1	0	0	1	1	1	0	0	0.0535	0.048026271	0.078838365	0.237281818	0.3132
139	11840	14400	1408	6976	9216	0.047	0.049	0.045	0.042	0.030	0	0	0	0	0	0	0	0	0	0	0.2909	0.281025333	0.311590909	0.235344037	0.3046
140	12096	15264	1856	6528	5696	0.047	0.049	0.045	0.042	0.031	0	0	0	0	0	0	0	0	0	0	0.2909	0.289694969	0.311513793	0.275377451	0.3371
141	10368	14496	704	32192	24384	0.047	0.049	0.045	0.031	0.026	0	0	0	1	1	0	0	0	1	0	0.2909	0.275989404	0.358318182	0.061145925	0.2692
142	12224	15072	13952	5248	77824	0.047	0.049	0.044	0.042	0.026	0	0	1	0	1	0	0	1	0	0	0.2909	0.289496815	0.390843119	0.27897411	0.2982
143	98624	11520	6272	5120	38720	0.039	0.049	0.044	0.042	0.027	1	0	1	0	1	1	0	1	0	0	0.1485	0.30042	0.398689399	0.25718125	0.3197
144	27840	11712	1024	6400	13888	0.035	0.049	0.045	0.042	0.031	1	0	0	0	0	0	0	0	0	0	0.042582938	0.301	0.40905	0.247401	0.4116
145	81088	10464	1792	4864	3520	0.031	0.049	0.045	0.042	0.031	1	0	0	0	0	1	0	1	0	0	0.0653	0.286882569	0.4061	0.243421053	0.414
146	10688	16704	49344	6656	3008	0.047	0.047	0.031	0.038	0.031	0	1	1	0	0	1	0	1	0	0	0.2909	0.228554023	0.132234241	0.154032572	0.412
147	24512	14592	7488	18368	29184	0.042	0.048	0.032	0.031	0.022	1	1	1	1	0	0	0	1	1	0	0.2118	0.285961184	0.158301952	0.018461696	0.168
148	8640	11616	40064	6976	15744	0.047	0.049	0.030	0.037	0.022	0	0	1	0	1	0	0	1	0.408118486	0	0.2909	0.312761984	0.08486278	0.154645757	0.1517
149	11456	11712	2368	8128	6656	0.047	0.049	0.045	0.042	0.030	0	0	0	0	0	0	0	0	0	0	0.2909	0.3046	0.3958	0.279873228	0.373
150	6080	26880	1152	41152	9024	0.047	0.042	0.045	0.036	0.026	0	1	0	1	1	0	1	0	1	0	0.2909	0.168946429	0.335833333	0.177173406	0.3485
151	9664	11616	2112	6400	48384	0.046	0.049	0.045	0.042	0.023	0	0	0	0	1	0	0	0	0	1	0.282732419	0.284840869	0.360839394	0.36760412	0.2583
152	13120	11616	90240	4992	4992	0.045	0.047	0.040	0.041	0.030	1	1	1	1	1	0.56097561	1	1	1	1	0.2664	0.243476033	0.368130922	0.444803846	0.4121
153	8448	12576	3904	76416	4928	0.047	0.049	0.037	0.031	0.030	0	0	0	1	0	0	0	0	1	0	0.326083333	0.284299237	0.306822138	0.298562563	0.4084
154	27072	10080	6720	29632	17728	0.044	0.051	0.031	0.031	0.021	1	0	1	1	1	1	0	0	1	0	0.354675887	0.288585139	0.194333333	0.287946086	0.1794
155	14784	10752	50816	13504	11712	0.043	0.053	0.031	0.026	0.017	0	0	1	1	1	0	0	1	0	0	0.285696224	0.311225	0.23491738	0.174607583	0.0424
156	45632	8928	9472	10240	2944	0.039	0.053	0.032	0.028	0.032	1	0	1	1	0	1	0	0.965381471	0	0	0.229667461	0.310380645	0.263581199	0.226786468	0.4669
157	16000	12096	2304	42496	1536	0.041	0.053	0.044	0.031	0.033	1	0	0	1	0	0	0	0.44730174	1	0	0.362228337	0.329719048	0.479651588	0.301152861	0.4976
158	10048	13056	6464	6336	4416	0.048	0.053	0.032	0.040	0.028	0	0	0	0	0	0	0	0	0	0	0.415112739	0.344636765	0.21440317	0.444634667	0.4118
159	22976	9504	1920	5632	46080	0.044	0.053	0.043	0.040	0.023	1	0	0	0	1	1	0	0	0	0	0.335477994	0.345921212	0.434398779	0.441547833	0.3013
160	10496	19008	960	65024	5056	0.047	0.042	0.043	0.034	0.027	1	1	1	1	1	0	0	0	0.225472441	0	0.395798409	0.167715152	0.491373333	0.364398917	0.3947
